order_id,order_date,customer_id,customer_name,customer_email,customer_city,customer_state,product_name,product_category,quantity,unit_price,discount_amount,revenue,store_name,shipping_method,shipping_status,payment_method
ORD-05759254,2022-01-08,CUST-7F78A5,Marcus Walter,ulang@example.org,Valerieborough,OR,Grill-Cover,BBQ & Grilling,1,30.84,20.0,10.84,naturegoods,Standard,cancelled,PayPal
ORD-73910282,2024-08-22,CUST-2485D6,Rachel Clarke,joseph92@example.net,Mcintyreside,MD,Wind-Chime,Outdoor Decor,4,20.67,0.0,34.85,Nature Goods,Standard,in progress,Apple Pay
ORD-91986600,2024-11-06,CUST-41F914,Chad Craig,jonathonbecker@example.com,West Jasminebury,N/A,Grill Cover,BBQ & Grilling,8,34.08,5.0,267.64,patioworld,Express,In Transit,Credit Card
ORD-51002473,2022-02-18,CUST-F072E3,Melanie Hunt,audrey18@example.com,East Gregorybury,ME,Wall-Planter,Outdoor Decor,3,26.24,10.0,68.72,GardenPlus ,Standard,refunded,Debit Card
ORD-47132444,2023-06-29,CUST-F0A508,Richard Campbell,christensendanielle@example.org,Port Scottfurt,KS,GAS GRILL,BBQ & Grilling,5,504.73,10.0,1034.05,Home Nest,Express,CANCELLED,Debit Card
ORD-07786983,2023-04-10,CUST-921D98,Brandon Thompson,amber53@example.com,South Jessicafort,CT,LEAF BLOWER,Garden Tools,1,154.85,5.0,149.85,Home Nest,Express,SHIPPED,Gift Card
ORD-76476334,2023-10-08,CUST-5FC88F,Stephanie Carpenter,,Valeriemouth,NE,Path Light,Lighting,1,53.01,5.0,48.01,OutdoorHub ,Free Shipping,Returned,Apple Pay
ORD-09690360,2024-05-02,CUST-CEA85C,Joshua Tran,michael17@example.com,East Dominique,CA,GARDEN BENCH,Furniture,2,123.45,5.0,241.9,Home-Nest,Free Shipping,CANCELLED,PayPal
ORD-74917754,2022-10-08,CUST-9DA4EA,Pamela Wood,,New Henry,NJ,Grill Covr,BBQ & Grilling,3,29.18,20.0,67.54,Nature-Goods,Store Pickup,delivered,PayPal
ORD-41596617,2024-09-20,CUST-56B830,David Hayes,wsawyer@example.com,Port Monicahaven,OK,Wheel Barrow,Garden Tools,6,109.89,0.0,659.34,Garden Plus,Overnight,dispatched,Apple Pay
ORD-06300870,2023-07-23,CUST-115FCD,Ashley Rios,wongcurtis@example.com,Lake Melissa,NM,Garden-Hose,Garden Tools,2,35.99,5.0,66.98,Garden Plus,Free Shipping,dispatched,Apple Pay
ORD-23447064,2022-09-09,CUST-9184BA,Shannon Fletcher,lucerojeremy@example.org,East Kimberlymouth,NY,BBQ TOOL SET,BBQ & Grilling,8,40.85,0.0,326.8,Outdoor Hub,Overnight,Returned,Google Pay
ORD-93861137,2024-04-06,CUST-F7D533,Lisa Hughes,johnchase@example.net,Lake Gary,KS,Garden Stateu,Outdoor Decor,6,55.94,0.0,335.64,GARDENPLUS,Standard,dispatched,Apple Pay
ORD-77463176,2024-01-14,CUST-CE416D,Taylor Horton,mgaines@example.org,Brianside,CO,Garden Stateu,Outdoor Decor,1,52.29,0.0,52.29,HomeNest,Store Pickup,PROCESSING,Apple Pay
ORD-84287290,2024-02-26,CUST-DF67FD,Jacqueline Smith,steven08@example.org,West Katieport,NC,Sun Loungr,Furniture,5,85.74,5.0,423.7,HomeNest.,Store Pickup,PROCESSING,Debit Card
ORD-36229161,2024-05-01,CUST-2361C6,William Townsend,davisricky@example.org,Browningburgh,CT,Patio Dining Tbl,Furniture,5,315.03,25.0,2052.96,OutdoorHub ,Free Shipping,Processing,Credit Card
